#Sourcename     n2hp_max    n2hp_num   hnc_max   hnc_num    hcop_max   hcop_num   hcn_max   hcn_num
G337.966+00.141    14.7414    41    10.1941    46    7.46031    22    6.32411    5
G337.971+00.089    10.2736    22    7.63482    13    7.17175    8    4.59424    0
G338.024-00.207    2.47163    0    3.78657    0    3.47439    0    4.05609    0
G338.067+00.045    4.35821    0    6.01825    2    4.43244    0    5.26936    1
G338.145+00.109    5.12948    1    3.85557    0    5.33129    1    6.01236    3
G338.218-00.132    9.45762    19    5.67314    1    6.86179    14    4.59628    0
G338.287+00.123    19.6496    66    12.8499    68    7.03589    36    5.39054    2
G338.334+00.132    23.4596    63    10.0753    49    9.28201    37    6.07996    4
G338.356+00.182    4.62794    0    5.48817    4    6.30005    8    5.8722    10
G338.384+00.011    8.25978    22    12.3855    69    11.923    88    8.43098    66
G338.394-00.405    11.8366    67    9.08304    59    4.749    0    6.46657    13
G338.433+00.054    46.0327    100    40.4921    100    18.1115    95    22.3657    99
G338.442-00.706    11.827    37    6.96407    16    6.16266    4    5.39472    1
G338.447-00.005    3.63388    0    6.23433    16    9.80392    33    13.9549    60
G338.455-00.721    12.4361    49    7.26782    27    5.69534    6    6.24974    7
G338.460+00.023    35.9986    100    29.8117    100    34.744    100    18.6269    100
G338.479+00.029    23.8267    100    23.9384    100    34.2306    100    17.4144    100
G338.562+00.217    17.3278    37    12.695    53    11.3025    51    9.30515    29
G338.619+00.022    9.48954    21    9.08587    40    9.35233    61    8.50479    39
G338.785+00.477    13.837    56    13.8706    82    24.7373    100    17.7793    98
G338.804+00.089    5.22686    2    5.40669    1    5.95259    7    5.88253    18
G338.833+00.480    21.2362    40    17.9259    46    25.1315    69    16.6651    59
G338.871+00.560    18.0487    86    18.5188    100    31.056    100    16.3959    100
G338.927+00.632    49.5735    89    20.1191    94    19.3214    96    22.8151    99
G339.205-00.661    6.79732    7    8.98627    37    10.1051    61    4.97571    0
G339.284+00.134    23.7701    62    19.4053    74    23.2154    88    16.5084    67
G339.490+00.092    6.03736    5    8.23811    22    13.326    54    17.0531    72
G339.949-00.538    17.2986    57    21.1392    78    32.4135    80    34.5531    89
G339.954+00.060    6.06232    3    5.23657    1    5.62651    2    6.46479    9
G340.072+00.926    20.2362    52    17.6143    72    25.3857    93    29.8082    100
G340.207-00.050    14.2136    42    12.512    65    19.9777    99    14.7323    100
G340.222-00.168    7.19724    10    10.9898    67    14.3209    99    7.78816    19
G340.248-00.376    74.193    100    46.2041    100    46.6568    100    32.8204    100
G340.256-00.226    30.2679    91    21.1612    100    26.0382    100    16.8961    100
G340.273-00.212    34.4699    93    24.5959    97    29.9195    100    23.2626    99
G340.307-00.377    18.6262    70    13.3128    96    14.301    98    11.7551    98
G340.373-00.392    20.4984    84    10.1615    83    16.2022    100    8.9347    60
